source_dataset,source_split,sample_id,label_source,text,audio_path,image_path,depression,anxiety,stress,sleep_disorder,burnout,loneliness,substance_abuse
MELD,dev,meld-dev-dia72-utt7,meld_emotion_sentiment_keyword_proxy,"No, I'm not questioning it, I'm saying it's stupid!  What?!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia68-utt5,meld_emotion_sentiment_keyword_proxy,No! I mean come on! This is a,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia1038-utt8,meld_emotion_sentiment_keyword_proxy,How many perfectly fine women are you gonna reject over the most superficial insignificant things?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,test,meld-test-dia113-utt15,meld_emotion_sentiment_keyword_proxy,"I give up you guys, I don't know what I'm going to do with this thing!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-03-01-05-02-01-01-22,ravdess_emotion_intensity_proxy,RAVDESS angry speech clip statement 01 repetition 01 actor 22,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_22\03-01-05-02-01-01-22.wav,,0.26,0.45,0.89,0.34,0.69,0.12,0.76
MELD,train,meld-train-dia483-utt6,meld_emotion_sentiment_keyword_proxy,"I turned it off. Mother of God, I turned it off!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia515-utt4,meld_emotion_sentiment_keyword_proxy,"Well, you’re just gonna have to try.",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia410-utt17,meld_emotion_sentiment_keyword_proxy,"If we broke up, and I lost you...",,,0.4,0.98,0.86,0.58,0.33,0.21,0.41
MELD,test,meld-test-dia70-utt13,meld_emotion_sentiment_keyword_proxy,Huh?,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia572-utt19,meld_emotion_sentiment_keyword_proxy,Hey! You wanna live to see your baby?!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-03-01-07-01-01-01-21,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 01 repetition 01 actor 21,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_21\03-01-07-01-01-01-21.wav,,0.22,0.28,0.54,0.18,0.4,0.1,0.5
MELD,dev,meld-dev-dia97-utt12,meld_emotion_sentiment_keyword_proxy,And is this in case the house sneezes?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,dev,meld-dev-dia30-utt13,meld_emotion_sentiment_keyword_proxy,Fine!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia301-utt14,meld_emotion_sentiment_keyword_proxy,Oh God.,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,test,meld-test-dia41-utt11,meld_emotion_sentiment_keyword_proxy,"We really weren’t great at being guys, but you know why?",,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
MELD,train,meld-train-dia459-utt1,meld_emotion_sentiment_keyword_proxy,"All right, I'm outta here!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-03-01-04-01-01-02-02,ravdess_emotion_intensity_proxy,RAVDESS sad speech clip statement 01 repetition 02 actor 02,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_02\03-01-04-01-01-02-02.wav,,0.8,0.28,0.34,0.52,0.34,0.7,0.08
MELD,train,meld-train-dia908-utt12,meld_emotion_sentiment_keyword_proxy,"I don’t know!   Yeah, I do.",,,0.0,0.0,0.0,0.0,0.01,0.0,0.0
MELD,train,meld-train-dia303-utt0,meld_emotion_sentiment_keyword_proxy,I don’t have time for this.,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia666-utt11,meld_emotion_sentiment_keyword_proxy,The fake kind!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia911-utt2,meld_emotion_sentiment_keyword_proxy,What the hell!,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia407-utt4,meld_emotion_sentiment_keyword_proxy,Back on in 30 seconds people!,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,test,meld-test-dia34-utt14,meld_emotion_sentiment_keyword_proxy,I mean sex does not have to be a big deal!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia933-utt10,meld_emotion_sentiment_keyword_proxy,"Joey, what are you doing?",,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia122-utt0,meld_emotion_sentiment_keyword_proxy,"And y'know what, I just realised, in the last year I’ve only gone out with two guys, Richard and Julio.",,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia646-utt20,meld_emotion_sentiment_keyword_proxy,Fine!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-03-01-07-01-01-01-01,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 01 repetition 01 actor 01,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_01\03-01-07-01-01-01-01.wav,,0.22,0.28,0.54,0.18,0.4,0.1,0.5
MELD,train,meld-train-dia976-utt12,meld_emotion_sentiment_keyword_proxy,"Oh, no no no no. Oh no no no no. I have to do this to her?",,,0.4,0.98,0.86,0.58,0.33,0.21,0.41
MELD,train,meld-train-dia960-utt6,meld_emotion_sentiment_keyword_proxy,"Hey! I’m proud of that sauce, it’s delicious.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia950-utt11,meld_emotion_sentiment_keyword_proxy,Maybe I should get another pair!,,,0.0,0.0,0.0,0.0,0.01,0.0,0.0
MELD,train,meld-train-dia21-utt6,meld_emotion_sentiment_keyword_proxy,I got no sleep last night!,,,0.34,0.52,0.9,0.6683,0.71,0.23,0.55
MELD,test,meld-test-dia70-utt14,meld_emotion_sentiment_keyword_proxy,"Can't you guys open your minds to the possibility that I actally like her,    and might want something real?",,,0.34,0.52,0.9,0.38,0.71,0.23,0.9
MELD,train,meld-train-dia913-utt2,meld_emotion_sentiment_keyword_proxy,Don’t stop! Move the bowl further away! Ross could make that shot!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia254-utt3,meld_emotion_sentiment_keyword_proxy,Give it to me!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia217-utt1,meld_emotion_sentiment_keyword_proxy,Why are we in bed together?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia352-utt3,meld_emotion_sentiment_keyword_proxy,"Well, let me tell you something... you will care about it, because I care about it!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.9
MELD,train,meld-train-dia599-utt2,meld_emotion_sentiment_keyword_proxy,Joey!!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-02-01-05-01-02-01-01,ravdess_emotion_intensity_proxy,RAVDESS angry speech clip statement 02 repetition 01 actor 01,,D:\Project\Rural Mental Heath Screening AI\data\ravdess_frames\02-01-05-01-02-01-01.jpg,0.26,0.4,0.84,0.22,0.64,0.12,0.5
MELD,train,meld-train-dia222-utt15,meld_emotion_sentiment_keyword_proxy,I-I cannot spend another evening with that man.,,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,dev,meld-dev-dia56-utt2,meld_emotion_sentiment_keyword_proxy,"I mean, I’ll go to the airport with ya, I-I wanna say good bye.",,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
MELD,train,meld-train-dia12-utt2,meld_emotion_sentiment_keyword_proxy,"That’s great, but shouldn’t you be on the toilet right now?",,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,train,meld-train-dia946-utt11,meld_emotion_sentiment_keyword_proxy,No!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia272-utt4,meld_emotion_sentiment_keyword_proxy,"Whoa-whoa-whoa! Emily,  honey, okay?",,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,dev,meld-dev-dia21-utt0,meld_emotion_sentiment_keyword_proxy,"All right, I'll give you this, Mr. Peanut is a better dresser.",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia857-utt9,meld_emotion_sentiment_keyword_proxy,That’s cool.,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia459-utt11,meld_emotion_sentiment_keyword_proxy,"A small puff of air, now come on!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia828-utt0,meld_emotion_sentiment_keyword_proxy,"Comin' through. Move, move.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia508-utt21,meld_emotion_sentiment_keyword_proxy,Y'know what? We need to move on.,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia659-utt4,meld_emotion_sentiment_keyword_proxy,Now that is funny.,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia918-utt3,meld_emotion_sentiment_keyword_proxy,"All right look, am I serious, okay? Tomorrow at 3:30 I am going down to the courthouse.",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,dev,meld-dev-dia91-utt8,meld_emotion_sentiment_keyword_proxy,No!,,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,train,meld-train-dia1005-utt14,meld_emotion_sentiment_keyword_proxy,"Okay, stop!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia776-utt7,meld_emotion_sentiment_keyword_proxy,"Oh, okay, yeah.  I put your stuff in her room, and her stuff in your room.",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,dev,meld-dev-dia92-utt4,meld_emotion_sentiment_keyword_proxy,My apothecary table!!!,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia295-utt21,meld_emotion_sentiment_keyword_proxy,"What are you still doin’ here?! I told you, lobster ravioli!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-03-01-07-01-02-01-21,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 02 repetition 01 actor 21,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_21\03-01-07-01-02-01-21.wav,,0.22,0.28,0.54,0.18,0.4,0.1,0.5
MELD,dev,meld-dev-dia109-utt2,meld_emotion_sentiment_keyword_proxy,Unbelievable! I mean you really kept Joey's underwear?! Why? Why would you do that?!,,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,test,meld-test-dia191-utt6,meld_emotion_sentiment_keyword_proxy,"Oh, sure! Do you need me to train somebody new?",,,0.0,0.0,0.0,0.0,0.01,0.0,0.0
MELD,train,meld-train-dia588-utt5,meld_emotion_sentiment_keyword_proxy,Apparently you’re not very good at it!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia72-utt13,meld_emotion_sentiment_keyword_proxy,Go get back on that case honey!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia89-utt12,meld_emotion_sentiment_keyword_proxy,They rushed into this thing so fast it’s ridiculous!,,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,train,meld-train-dia430-utt3,meld_emotion_sentiment_keyword_proxy,Hey Rach!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia440-utt11,meld_emotion_sentiment_keyword_proxy,Eww!,,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,dev,meld-dev-dia72-utt14,meld_emotion_sentiment_keyword_proxy,Here!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia972-utt10,meld_emotion_sentiment_keyword_proxy,"It took you that long to figure it out, huh?",,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,test,meld-test-dia244-utt6,meld_emotion_sentiment_keyword_proxy,"Well let’s see, there was the guy with the ferrets, that’s plural.",,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,train,meld-train-dia923-utt11,meld_emotion_sentiment_keyword_proxy,I don’t know exactly.,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia573-utt7,meld_emotion_sentiment_keyword_proxy,Say we are unagi!,,,0.0,0.0,0.0,0.0,0.01,0.0,0.0
MELD,test,meld-test-dia34-utt6,meld_emotion_sentiment_keyword_proxy,"Say it louder, I don’t think the guy all the way in the back heard you!",,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,dev,meld-dev-dia8-utt8,meld_emotion_sentiment_keyword_proxy,Well that’s true.,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
RAVDESS,full,ravdess-03-01-06-02-02-01-04,ravdess_emotion_intensity_proxy,RAVDESS fearful speech clip statement 02 repetition 01 actor 04,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_04\03-01-06-02-02-01-04.wav,,0.32,0.97,0.85,0.6,0.27,0.12,0.66
MELD,test,meld-test-dia196-utt12,meld_emotion_sentiment_keyword_proxy,Later is not good enough.,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia237-utt6,meld_emotion_sentiment_keyword_proxy,"""You are ideally suited for a career in data processing for a large multinational corporation.""",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia50-utt1,meld_emotion_sentiment_keyword_proxy,Don’t touch him!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia649-utt9,meld_emotion_sentiment_keyword_proxy,I actually feel like I’m going on a real date!,,,0.0,0.0,0.0,0.0,0.01,0.0,0.0
MELD,train,meld-train-dia445-utt16,meld_emotion_sentiment_keyword_proxy,And I wanna know why?!!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia630-utt13,meld_emotion_sentiment_keyword_proxy,"In fact, one of the first things they teach you in fire school is…  Uhh… Uhh… Okay.",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,test,meld-test-dia72-utt8,meld_emotion_sentiment_keyword_proxy,It’s only fair!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-01-01-07-02-02-02-04,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 02 repetition 02 actor 04,,D:\Project\Rural Mental Heath Screening AI\data\ravdess_frames\01-01-07-02-02-02-04.jpg,0.22,0.33,0.59,0.3,0.45,0.1,0.76
MELD,test,meld-test-dia182-utt1,meld_emotion_sentiment_keyword_proxy,"Now, that's trash. Young lady, you can't…  Hey! Stop that young lady, she donated trash!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia174-utt15,meld_emotion_sentiment_keyword_proxy,"Ah, that’s okay, thanks.",,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
MELD,train,meld-train-dia722-utt6,meld_emotion_sentiment_keyword_proxy,No! I would never do that! You-you're like my brother!,,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
RAVDESS,full,ravdess-01-01-07-02-02-02-01,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 02 repetition 02 actor 01,,D:\Project\Rural Mental Heath Screening AI\data\ravdess_frames\01-01-07-02-02-02-01.jpg,0.22,0.33,0.59,0.3,0.45,0.1,0.76
MELD,train,meld-train-dia181-utt0,meld_emotion_sentiment_keyword_proxy,"Man, I’m starving! What the hell was I thinking at dinner?! ""Do you want soup or salad?"" Both! Always order both!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia94-utt0,meld_emotion_sentiment_keyword_proxy,What?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia1-utt0,meld_emotion_sentiment_keyword_proxy,But then who? The waitress I went out with last month?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia760-utt4,meld_emotion_sentiment_keyword_proxy,"Oh no-no-no, that’s not—No-no-no!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia29-utt12,meld_emotion_sentiment_keyword_proxy,"Oh, my maple candy!",,,0.0,0.0,0.0,0.0,0.01,0.0,0.0
MELD,train,meld-train-dia690-utt8,meld_emotion_sentiment_keyword_proxy,You what?,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,dev,meld-dev-dia46-utt4,meld_emotion_sentiment_keyword_proxy,"You guys, Joey just saw Janice kissing her ex-husband.",,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia614-utt6,meld_emotion_sentiment_keyword_proxy,"Oh sure, every Sunday night I'm telling myself I'm quitting but every Monday morning it's like",,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,train,meld-train-dia184-utt13,meld_emotion_sentiment_keyword_proxy,And you weren't going to tell us? How did you think you were    gonna get away with that?,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia427-utt0,meld_emotion_sentiment_keyword_proxy,"All right, well why don’t I go out with an ex-boyfriend and do Joey a favor?!",,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
MELD,train,meld-train-dia964-utt10,meld_emotion_sentiment_keyword_proxy,This-this happened when my grandfather died.,,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
MELD,train,meld-train-dia523-utt12,meld_emotion_sentiment_keyword_proxy,Fine!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia479-utt10,meld_emotion_sentiment_keyword_proxy,Yeah!,,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,train,meld-train-dia526-utt3,meld_emotion_sentiment_keyword_proxy,"Um, but that’s okay, see we have an understanding, um, see we each have this list of five famous people,  so I’m allowed to sleep with you.",,,0.16,0.12,0.12,0.43,0.1,0.1,0.05
MELD,train,meld-train-dia476-utt7,meld_emotion_sentiment_keyword_proxy,All right. Did everyone get out okay?,,,0.4,0.98,0.86,0.58,0.33,0.21,0.41
MELD,train,meld-train-dia892-utt8,meld_emotion_sentiment_keyword_proxy,"Hey Joey, come taste this.",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia10-utt0,meld_emotion_sentiment_keyword_proxy,Nobody!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia480-utt9,meld_emotion_sentiment_keyword_proxy,He is so weird.,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia148-utt18,meld_emotion_sentiment_keyword_proxy,"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia6-utt21,meld_emotion_sentiment_keyword_proxy,"Or, call an ambulance.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia356-utt22,meld_emotion_sentiment_keyword_proxy,This will just be my batch.,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,dev,meld-dev-dia27-utt3,meld_emotion_sentiment_keyword_proxy,Why not?,,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
RAVDESS,full,ravdess-03-01-07-02-02-01-10,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 02 repetition 01 actor 10,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_10\03-01-07-02-02-01-10.wav,,0.22,0.33,0.59,0.3,0.45,0.1,0.76
MELD,test,meld-test-dia160-utt9,meld_emotion_sentiment_keyword_proxy,I did not cry my eyes out!!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-03-01-05-02-01-02-13,ravdess_emotion_intensity_proxy,RAVDESS angry speech clip statement 01 repetition 02 actor 13,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_13\03-01-05-02-01-02-13.wav,,0.26,0.45,0.89,0.34,0.69,0.12,0.76
MELD,train,meld-train-dia596-utt0,meld_emotion_sentiment_keyword_proxy,Of course! Only an idiot would wear this stuff if you didn’t have the car! Right?,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia353-utt1,meld_emotion_sentiment_keyword_proxy,"Hey, Joey. So did you hear about the new guy?",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia10-utt1,meld_emotion_sentiment_keyword_proxy,Nobody respects the bucket!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia596-utt8,meld_emotion_sentiment_keyword_proxy,"What?! No, you can’t, you can’t leave me here with them! We’re baby-sitting!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia147-utt1,meld_emotion_sentiment_keyword_proxy,"Where are you guys going? Come on, one more game!",,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,test,meld-test-dia155-utt2,meld_emotion_sentiment_keyword_proxy,Is this about Mark?,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,test,meld-test-dia9-utt0,meld_emotion_sentiment_keyword_proxy,Coming through!  Oh! Coming through!  Oh! Hello! Hi!  No! Right! Coming through!,,,0.4,0.98,0.86,0.58,0.33,0.21,0.41
MELD,train,meld-train-dia546-utt7,meld_emotion_sentiment_keyword_proxy,I think she means  'You,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia916-utt12,meld_emotion_sentiment_keyword_proxy,"No I mean—No not you, not you, you—you",,,0.4,0.98,0.86,0.58,0.33,0.21,0.41
RAVDESS,full,ravdess-03-01-04-01-01-01-02,ravdess_emotion_intensity_proxy,RAVDESS sad speech clip statement 01 repetition 01 actor 02,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_02\03-01-04-01-01-01-02.wav,,0.8,0.28,0.34,0.52,0.34,0.7,0.08
MELD,train,meld-train-dia671-utt17,meld_emotion_sentiment_keyword_proxy,No!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia893-utt1,meld_emotion_sentiment_keyword_proxy,"No, but Horny for Monica Minister called, wanting to know if we were still together.",,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,test,meld-test-dia144-utt12,meld_emotion_sentiment_keyword_proxy,Stuart!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia697-utt6,meld_emotion_sentiment_keyword_proxy,Oh yeah!  Oh my God! That is,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,dev,meld-dev-dia11-utt6,meld_emotion_sentiment_keyword_proxy,"I know it's in the apartment, but I",,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,dev,meld-dev-dia6-utt5,meld_emotion_sentiment_keyword_proxy,I left my guitar in their apartment.,,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
MELD,train,meld-train-dia374-utt12,meld_emotion_sentiment_keyword_proxy,We’re here to celebrate our love together.,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-03-01-07-02-01-02-05,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 01 repetition 02 actor 05,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_05\03-01-07-02-01-02-05.wav,,0.22,0.33,0.59,0.3,0.45,0.1,0.76
MELD,train,meld-train-dia527-utt0,meld_emotion_sentiment_keyword_proxy,Get out of here you lurker!  Go on! Get!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,dev,meld-dev-dia27-utt2,meld_emotion_sentiment_keyword_proxy,Why?!,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia884-utt8,meld_emotion_sentiment_keyword_proxy,Yeah-yeah. And the craziest thing is that I just ate a whole pizza by myself!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia861-utt3,meld_emotion_sentiment_keyword_proxy,"Me? I'm fine, fine. I'm glad you're here. ...What's with your hair?",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia120-utt16,meld_emotion_sentiment_keyword_proxy,"I don’t have anything against the beautiful guest room, especially since everybody we know lives about 30 seconds away!",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
RAVDESS,full,ravdess-03-01-04-01-01-01-19,ravdess_emotion_intensity_proxy,RAVDESS sad speech clip statement 01 repetition 01 actor 19,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_19\03-01-04-01-01-01-19.wav,,0.8,0.28,0.34,0.52,0.34,0.7,0.08
MELD,train,meld-train-dia686-utt4,meld_emotion_sentiment_keyword_proxy,"Nobody wants to do it? All right, I’ll do it myself.",,,0.3,0.38,0.66,0.3,0.49,0.17,0.33
MELD,train,meld-train-dia542-utt3,meld_emotion_sentiment_keyword_proxy,That was you?!,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
MELD,train,meld-train-dia634-utt7,meld_emotion_sentiment_keyword_proxy,Crap!!,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia401-utt11,meld_emotion_sentiment_keyword_proxy,"Phoebe.  Phoebe. Phoebe, yeah. She named me after you I guess.",,,0.88,0.4,0.48,0.62,0.43,0.77,0.25
RAVDESS,full,ravdess-03-01-07-01-02-02-14,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 02 repetition 02 actor 14,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_14\03-01-07-01-02-02-14.wav,,0.22,0.28,0.54,0.18,0.4,0.1,0.5
MELD,train,meld-train-dia745-utt4,meld_emotion_sentiment_keyword_proxy,Hey.,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,test,meld-test-dia60-utt6,meld_emotion_sentiment_keyword_proxy,"It was a ""Wendy's!!    """,,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,train,meld-train-dia929-utt1,meld_emotion_sentiment_keyword_proxy,"Hey, it’s your Thanksgiving too, y'know, instead of watching football, you could help.",,,0.34,0.52,0.9,0.38,0.71,0.23,0.55
MELD,test,meld-test-dia64-utt15,meld_emotion_sentiment_keyword_proxy,Flexible hours.,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia771-utt12,meld_emotion_sentiment_keyword_proxy,But what about how much taller he is than me?,,,0.16,0.12,0.12,0.1,0.1,0.1,0.05
MELD,train,meld-train-dia93-utt5,meld_emotion_sentiment_keyword_proxy,Oh no! No!! My hole!!,,,0.2,0.5,0.44,0.26,0.17,0.13,0.21
RAVDESS,full,ravdess-03-01-07-02-02-01-17,ravdess_emotion_intensity_proxy,RAVDESS disgust speech clip statement 02 repetition 01 actor 17,D:\Project\Rural Mental Heath Screening AI\data\public_datasets\RAVDESS\extracted\audio_speech\Actor_17\03-01-07-02-02-01-17.wav,,0.22,0.33,0.59,0.3,0.45,0.1,0.76
MELD,test,meld-test-dia11-utt0,meld_emotion_sentiment_keyword_proxy,"Well Phoebe, we gotta do something!",,,0.88,0.4,0.48,0.62,0.43,0.77,0.5958
